custom_id,misconfigured_snippet,related_cwe,misconfiguration_label
request-1,"class { '::neutron::agents::metadata': debug => $debug, shared_secret => $shared_secret, metadata_ip => $nova_endpoint, metadata_protocol => $nova_internal_protocol, metadata_workers => $metadata_workers, manage_service => true, enabled => true, }",CWE-798,1
request-2,,,0
request-3,"""/usr/local/bin/homeclean.sh"": mode => '0755', content => template(""${module_name}/homeclean.sh.erb"");",CWE-306,1
request-4,$zookeeper_hosts = ['localhost:2181'],CWE-200,1
request-5,,,0
request-6,if count($nodes) > 2 { $policy = 'stop' } else { $policy = 'ignore' },CWE-670,1
request-7,"augeas { $cgi_conf_file: incl => $cgi_conf_file, lens => 'nagioscfg.lns', changes => [ 'set authorized_for_system_information *', 'set authorized_for_configuration_information *', 'set authorized_for_system_commands *', 'set authorized_for_all_services *', 'set authorized_for_all_hosts *', 'set authorized_for_all_service_commands *', 'set authorized_for_all_host_commands *', ], require => [htpasswd[$user], class['apache']], notify => service[$httpd_service_name], }",CWE-284,1
request-8,group { 'com.apple.access_ssh': ensure => absent; },CWE-284,1
request-9,,,0
request-10,"rabbitmq_user { $userid: admin => true, password => $password, provider => 'rabbitmqctl', }",CWE-798,1
request-10,"rabbitmq_user_permissions { ""${userid}@${virtual_host}"": configure_permission => '.*', write_permission => '.*', read_permission => '.*', provider => 'rabbitmqctl', }",CWE-732,1
request-11,'sharedsecret' => 'test',CWE-798,1
request-11,'publickey' => 'test',CWE-798,1
request-11,'merchantid' => 'test',CWE-798,1
request-12,,,0
request-13,"file {$command_filename: ensure => present, content => template('nagios/notify-by-smtp.cfg.erb'), owner => 'root', group => 'root', mode => '0644', replace => 'no', require => package[$nagios::params::package_mailx_smtp], }",CWE-522,1
request-14,,,0
request-15,gnocchi_config { 'statsd/resource_id' : value => $resource_id; 'statsd/user_id' : value => $user_id; 'statsd/project_id' : value => $project_id; 'statsd/archive_policy_name' : value => $archive_policy_name; 'statsd/flush_delay' : value => $flush_delay; },CWE-522,1
request-16,$privileges = 'all',CWE-266,1
request-17,,,0
request-18,"file { '/hugepages': ensure => 'directory', group => 'kvm', } -> mount { '/hugepages': ensure => 'mounted', fstype => 'hugetlbfs', device => 'hugetlbfs', options => 'mode=775,gid=kvm', atboot => true, }",CWE-732,1
request-19,"package { ""gcc"": ensure => latest; }",CWE-829,1
request-20,"file { ""/tmp/testing_component_requires1"": mode => 755, ensure => present, require => testfile[""/tmp/testing_component_requires2""] }",CWE-732,1
request-20,"testfile { ""/tmp/testing_component_requires2"": mode => 755 }",CWE-732,1
request-21,,,0
request-22,,,0
request-23,,,0
request-24,"""http://127.0.0.1:${port}"" => { 'format' => 'json', storerates => true }",CWE-319,1
request-25,"$rabbit_os_user = 'guest', $rabbit_os_password = 'guest', ... $rabbit_own_user = 'guest', $rabbit_own_password = 'guest', ... murano_config { ... 'rabbitmq/login' : value => $rabbit_own_user; 'rabbitmq/password' : value => $rabbit_own_password; ... } ... oslo::messaging::rabbit { ... rabbit_userid => $rabbit_os_user, rabbit_password => $rabbit_os_password, ... }",CWE-798,1
request-25,"$signing_dir = '/tmp/keystone-signing-muranoapi', ... murano_config { ... 'keystone_authtoken/signing_dir' : value => $signing_dir; ... }",CWE-377,1
